subject,item,mode,result
Subject_14,Die Strassenbahn fuhr weiter geradeaus,_mp_1.5,0
Subject_14,Die Strassenbahn fuhr weiter geradeaus,_mp_2.0,0
Subject_14,Diese Zeitung ist bereits veraltet,_mp_1.0,0
Subject_14,Diese Zeitung ist bereits veraltet,_mp_1.5,1
Subject_14,Diese Zeitung ist bereits veraltet,_mp_2.0,0
Subject_14,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.0,1
Subject_14,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.5,1
Subject_14,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_2.0,0
Subject_14,Benno gefaellt die orange Vase,_mp_1.0,0
Subject_14,Benno gefaellt die orange Vase,_mp_1.5,1
Subject_14,Benno gefaellt die orange Vase,_mp_2.0,1
Subject_15,Badetag,_mp_1.0,1
Subject_15,Badetag,_mp_1.5,1
Subject_15,Badetag,_mp_2.0,1
Subject_15,Bewirken,_mp_1.0,0
Subject_15,Bewirken,_mp_1.5,0
Subject_15,Bewirken,_mp_2.0,0
Subject_15,Butterweich,_mp_1.0,0
Subject_15,Butterweich,_mp_1.5,0
Subject_15,Butterweich,_mp_2.0,1
Subject_15,Giraffe,_mp_1.0,1
Subject_15,Giraffe,_mp_1.5,1
Subject_15,Giraffe,_mp_2.0,0
Subject_15,Kakadu,_mp_1.0,1
Subject_15,Kakadu,_mp_1.5,0
Subject_15,Kakadu,_mp_2.0,0
Subject_15,Karotte,_mp_1.0,0
Subject_15,Karotte,_mp_1.5,1
Subject_15,Karotte,_mp_2.0,0
Subject_15,Kassette,_mp_1.0,1
Subject_15,Kassette,_mp_1.5,0
Subject_15,Kassette,_mp_2.0,1
Subject_15,Musiker,_mp_1.0,0
Subject_15,Musiker,_mp_1.5,0
Subject_15,Musiker,_mp_2.0,0
Subject_15,Vergessen,_mp_1.0,1
Subject_15,Vergessen,_mp_1.5,0
Subject_15,Vergessen,_mp_2.0,1
Subject_15,Zigarre,_mp_1.0,0
Subject_15,Zigarre,_mp_1.5,1
Subject_15,Zigarre,_mp_2.0,0
Subject_15,Aber sehen will sie ihn doch,_mp_1.0,0
Subject_15,Aber sehen will sie ihn doch,_mp_1.5,1
Subject_15,Aber sehen will sie ihn doch,_mp_2.0,0
Subject_15,Er sah viele bunte Regenbogen,_mp_1.0,0
